symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2025-06-30 18:09:00+00:00,141.93,141.93,141.92,141.93,981.0,19.0,141.928542
AMD,2025-06-30 18:10:00+00:00,141.9,141.9,141.75,141.79,1264.0,30.0,141.82625
AMD,2025-06-30 18:11:00+00:00,141.805,141.87,141.805,141.86,1948.0,25.0,141.833158
AMD,2025-06-30 18:12:00+00:00,141.9,141.975,141.9,141.975,973.0,22.0,141.937857
AMD,2025-06-30 18:13:00+00:00,142.02,142.025,141.975,141.975,922.0,14.0,142.005714
AMD,2025-06-30 18:14:00+00:00,141.95,141.975,141.92,141.93,2534.0,39.0,141.947105
AMD,2025-06-30 18:15:00+00:00,141.89,141.95,141.89,141.95,1125.0,14.0,141.927273
AMD,2025-06-30 18:16:00+00:00,141.96,141.96,141.9,141.96,1348.0,17.0,141.932308
AMD,2025-06-30 18:17:00+00:00,141.97,141.99,141.9,141.99,1544.0,24.0,141.946071
AMD,2025-06-30 18:18:00+00:00,142.01,142.065,142.01,142.045,701.0,8.0,142.042143
AMD,2025-06-30 18:19:00+00:00,142.09,142.09,142.06,142.06,1476.0,21.0,142.068571
AMD,2025-06-30 18:20:00+00:00,142.025,142.12,142.025,142.12,1490.0,29.0,142.087206
AMD,2025-06-30 18:21:00+00:00,142.11,142.17,142.11,142.14,734.0,13.0,142.139286
AMD,2025-06-30 18:22:00+00:00,142.15,142.15,142.125,142.125,221.0,6.0,142.1375
AMD,2025-06-30 18:23:00+00:00,142.075,142.075,142.05,142.05,546.0,13.0,142.065
AMD,2025-06-30 18:24:00+00:00,142.05,142.05,142.02,142.03,4705.0,34.0,142.028923
AMD,2025-06-30 18:25:00+00:00,142.06,142.06,141.98,141.98,2470.0,38.0,142.000704
AMD,2025-06-30 18:26:00+00:00,141.98,141.99,141.94,141.99,1429.0,17.0,141.973913
AMD,2025-06-30 18:27:00+00:00,141.98,142.03,141.98,142.03,453.0,9.0,142.005
AMD,2025-06-30 18:28:00+00:00,141.99,141.99,141.99,141.99,148.0,4.0,141.99
AMD,2025-06-30 18:29:00+00:00,141.96,141.96,141.85,141.91,2087.0,18.0,141.880719
AMD,2025-06-30 18:30:00+00:00,141.93,141.99,141.93,141.99,765.0,15.0,141.962
AMD,2025-06-30 18:31:00+00:00,141.82,141.86,141.8,141.82,1224.0,17.0,141.827
AMD,2025-06-30 18:32:00+00:00,141.8,141.86,141.8,141.84,825.0,18.0,141.827857
AMD,2025-06-30 18:33:00+00:00,141.76,141.76,141.76,141.76,339.0,7.0,141.76
AMD,2025-06-30 18:34:00+00:00,141.8,141.8,141.73,141.73,322.0,6.0,141.753333
AMD,2025-06-30 18:35:00+00:00,141.74,141.77,141.74,141.745,1126.0,17.0,141.747222
AMD,2025-06-30 18:36:00+00:00,141.77,141.8,141.72,141.72,2287.0,26.0,141.738182
AMD,2025-06-30 18:37:00+00:00,141.64,141.68,141.64,141.66,1546.0,22.0,141.6708
AMD,2025-06-30 18:38:00+00:00,141.65,141.67,141.65,141.67,685.0,11.0,141.664167
AMD,2025-06-30 18:39:00+00:00,141.625,141.69,141.625,141.64,1110.0,19.0,141.66125
AMD,2025-06-30 18:40:00+00:00,141.64,141.64,141.56,141.58,933.0,16.0,141.584286
AMD,2025-06-30 18:41:00+00:00,141.55,141.59,141.54,141.57,846.0,15.0,141.56375
AMD,2025-06-30 18:42:00+00:00,141.53,141.55,141.49,141.55,2204.0,30.0,141.514433
AMD,2025-06-30 18:43:00+00:00,141.53,141.69,141.525,141.66,1421.0,17.0,141.565
AMD,2025-06-30 18:44:00+00:00,141.62,141.64,141.55,141.58,1991.0,23.0,141.59
AMD,2025-06-30 18:45:00+00:00,141.61,141.68,141.58,141.62,2799.0,45.0,141.5994
AMD,2025-06-30 18:46:00+00:00,141.62,141.62,141.55,141.61,2597.0,33.0,141.573244
AMD,2025-06-30 18:47:00+00:00,141.6,141.64,141.56,141.62,1511.0,18.0,141.604643
AMD,2025-06-30 18:48:00+00:00,141.57,141.57,141.48,141.51,1287.0,16.0,141.532917
AMD,2025-06-30 18:49:00+00:00,141.43,141.49,141.43,141.48,1021.0,18.0,141.4765
AMD,2025-06-30 18:50:00+00:00,141.46,141.52,141.46,141.51,1164.0,18.0,141.497778
AMD,2025-06-30 18:51:00+00:00,141.54,141.56,141.54,141.56,513.0,10.0,141.55
AMD,2025-06-30 18:52:00+00:00,141.595,141.595,141.59,141.59,305.0,21.0,141.5925
AMD,2025-06-30 18:53:00+00:00,141.56,141.57,141.55,141.55,985.0,19.0,141.554405
AMD,2025-06-30 18:54:00+00:00,141.56,141.56,141.53,141.53,798.0,24.0,141.5425
AMD,2025-06-30 18:55:00+00:00,141.57,141.65,141.55,141.65,3428.0,46.0,141.615523
AMD,2025-06-30 18:56:00+00:00,141.67,141.67,141.67,141.67,383.0,16.0,141.67
AMD,2025-06-30 18:57:00+00:00,141.71,141.77,141.71,141.77,2133.0,27.0,141.755294
AMD,2025-06-30 18:58:00+00:00,141.78,141.78,141.72,141.72,1032.0,15.0,141.744375
AMD,2025-06-30 18:59:00+00:00,141.7,141.72,141.69,141.72,651.0,15.0,141.704
AMD,2025-06-30 19:00:00+00:00,141.73,141.76,141.73,141.76,562.0,18.0,141.745
AMD,2025-06-30 19:01:00+00:00,141.875,141.88,141.84,141.88,697.0,14.0,141.8575
AMD,2025-06-30 19:02:00+00:00,141.88,141.88,141.85,141.85,790.0,15.0,141.871843
AMD,2025-06-30 19:03:00+00:00,141.91,141.94,141.9,141.9,423.0,16.0,141.916667
AMD,2025-06-30 19:04:00+00:00,141.9,141.9,141.85,141.85,1680.0,22.0,141.881563
AMD,2025-06-30 19:05:00+00:00,141.88,141.88,141.85,141.85,427.0,10.0,141.86
AMD,2025-06-30 19:06:00+00:00,141.91,141.95,141.9,141.9,961.0,16.0,141.925556
AMD,2025-06-30 19:07:00+00:00,141.84,141.84,141.77,141.78,1138.0,21.0,141.793333
AMD,2025-06-30 19:08:00+00:00,141.85,141.85,141.76,141.76,1347.0,24.0,141.799583
AMD,2025-06-30 19:09:00+00:00,141.77,141.785,141.63,141.63,2191.0,29.0,141.723421
AMD,2025-06-30 19:10:00+00:00,141.555,141.58,141.51,141.57,2835.0,42.0,141.540191
AMD,2025-06-30 19:11:00+00:00,141.56,141.715,141.495,141.715,2555.0,37.0,141.628213
AMD,2025-06-30 19:12:00+00:00,141.74,141.855,141.67,141.67,8192.0,67.0,141.800992
AMD,2025-06-30 19:13:00+00:00,141.72,141.765,141.58,141.58,2264.0,36.0,141.668947
AMD,2025-06-30 19:14:00+00:00,141.59,141.64,141.58,141.6,1009.0,14.0,141.601
AMD,2025-06-30 19:15:00+00:00,141.54,141.54,141.47,141.47,2699.0,36.0,141.505227
AMD,2025-06-30 19:16:00+00:00,141.49,141.495,141.34,141.34,563.0,11.0,141.401
AMD,2025-06-30 19:17:00+00:00,141.32,141.34,141.32,141.34,601.0,21.0,141.326667
AMD,2025-06-30 19:18:00+00:00,141.28,141.28,141.235,141.235,653.0,12.0,141.259167
AMD,2025-06-30 19:19:00+00:00,141.26,141.36,141.26,141.34,2439.0,36.0,141.311346
AMD,2025-06-30 19:20:00+00:00,141.35,141.35,141.31,141.345,1314.0,24.0,141.331818
AMD,2025-06-30 19:21:00+00:00,141.34,141.43,141.34,141.42,2288.0,31.0,141.38175
AMD,2025-06-30 19:22:00+00:00,141.42,141.48,141.39,141.48,868.0,15.0,141.428571
AMD,2025-06-30 19:23:00+00:00,141.5,141.63,141.5,141.58,837.0,18.0,141.551429
AMD,2025-06-30 19:24:00+00:00,141.61,141.62,141.6,141.62,901.0,14.0,141.60625
AMD,2025-06-30 19:25:00+00:00,141.565,141.625,141.56,141.625,1236.0,22.0,141.577778
AMD,2025-06-30 19:26:00+00:00,141.655,141.76,141.64,141.76,1113.0,28.0,141.722332
AMD,2025-06-30 19:27:00+00:00,141.835,141.835,141.77,141.8,3349.0,47.0,141.807143
AMD,2025-06-30 19:28:00+00:00,141.77,141.845,141.735,141.735,2547.0,38.0,141.787805
AMD,2025-06-30 19:29:00+00:00,141.78,141.78,141.735,141.735,352.0,13.0,141.764703
AMD,2025-06-30 19:30:00+00:00,141.7,141.74,141.67,141.7,3631.0,56.0,141.697724
AMD,2025-06-30 19:31:00+00:00,141.76,141.81,141.72,141.74,1502.0,30.0,141.770833
AMD,2025-06-30 19:32:00+00:00,141.72,141.78,141.67,141.78,1160.0,30.0,141.73
AMD,2025-06-30 19:33:00+00:00,141.79,141.89,141.79,141.88,1702.0,20.0,141.851
AMD,2025-06-30 19:34:00+00:00,141.845,141.89,141.73,141.73,2364.0,33.0,141.8085
AMD,2025-06-30 19:35:00+00:00,141.74,141.77,141.725,141.77,3844.0,37.0,141.757619
AMD,2025-06-30 19:36:00+00:00,141.72,141.75,141.72,141.74,1676.0,29.0,141.734989
AMD,2025-06-30 19:37:00+00:00,141.72,141.735,141.69,141.7,1880.0,18.0,141.713611
AMD,2025-06-30 19:38:00+00:00,141.64,141.64,141.48,141.54,1999.0,24.0,141.531525
AMD,2025-06-30 19:39:00+00:00,141.54,141.66,141.53,141.66,1405.0,31.0,141.605
AMD,2025-06-30 19:40:00+00:00,141.66,141.75,141.66,141.75,1290.0,21.0,141.705
AMD,2025-06-30 19:41:00+00:00,141.77,141.77,141.72,141.74,859.0,17.0,141.746667
AMD,2025-06-30 19:42:00+00:00,141.69,141.78,141.67,141.77,2175.0,32.0,141.718374
AMD,2025-06-30 19:43:00+00:00,141.775,141.83,141.775,141.81,1106.0,19.0,141.798667
AMD,2025-06-30 19:44:00+00:00,141.83,141.85,141.685,141.71,2293.0,42.0,141.791176
AMD,2025-06-30 19:45:00+00:00,141.7,141.75,141.665,141.68,2925.0,36.0,141.712021
AMD,2025-06-30 19:46:00+00:00,141.68,141.73,141.68,141.71,1335.0,19.0,141.702255
AMD,2025-06-30 19:47:00+00:00,141.73,141.79,141.73,141.76,1646.0,23.0,141.762143
AMD,2025-06-30 19:48:00+00:00,141.78,141.84,141.77,141.795,1224.0,22.0,141.798421
AMD,2025-06-30 19:49:00+00:00,141.86,141.89,141.83,141.84,1199.0,21.0,141.856
AMD,2025-06-30 19:50:00+00:00,141.79,141.915,141.79,141.855,2653.0,40.0,141.871613
AMD,2025-06-30 19:51:00+00:00,141.835,141.99,141.805,141.99,5003.0,76.0,141.935749
AMD,2025-06-30 19:52:00+00:00,142.015,142.1,141.91,141.91,7105.0,113.0,142.013068
AMD,2025-06-30 19:53:00+00:00,141.94,142.06,141.88,142.06,3573.0,70.0,141.980364
AMD,2025-06-30 19:54:00+00:00,142.12,142.18,141.97,142.145,7535.0,109.0,142.09862
AMD,2025-06-30 19:55:00+00:00,142.13,142.15,142.06,142.09,3945.0,89.0,142.099107
AMD,2025-06-30 19:56:00+00:00,142.06,142.155,141.98,142.06,5495.0,88.0,142.067793
AMD,2025-06-30 19:57:00+00:00,142.05,142.155,142.03,142.105,7322.0,136.0,142.103986
AMD,2025-06-30 19:58:00+00:00,142.15,142.15,142.05,142.05,6176.0,119.0,142.101636
AMD,2025-06-30 19:59:00+00:00,142.05,142.06,141.84,141.88,15891.0,240.0,141.954707
AMD,2025-07-01 12:13:00+00:00,139.35,139.35,139.35,139.35,182.0,3.0,139.35
AMD,2025-07-01 12:15:00+00:00,139.36,139.36,139.36,139.36,100.0,1.0,139.36
AMD,2025-07-01 13:21:00+00:00,138.49,138.49,138.49,138.49,100.0,1.0,138.49
AMD,2025-07-01 13:30:00+00:00,138.82,140.115,138.59,139.59,29934.0,293.0,139.178825
AMD,2025-07-01 13:31:00+00:00,139.71,139.99,139.33,139.52,4995.0,76.0,139.592821
AMD,2025-07-01 13:32:00+00:00,139.46,139.82,139.32,139.8,5758.0,119.0,139.64
AMD,2025-07-01 13:33:00+00:00,139.6,139.61,138.96,139.025,6485.0,108.0,139.222744
AMD,2025-07-01 13:34:00+00:00,139.04,139.42,138.97,139.42,4342.0,89.0,139.143704
AMD,2025-07-01 13:35:00+00:00,139.48,139.48,138.72,138.78,7949.0,130.0,139.014261
AMD,2025-07-01 13:36:00+00:00,138.83,138.86,138.62,138.66,4683.0,77.0,138.72094
AMD,2025-07-01 13:37:00+00:00,138.77,138.94,138.345,138.345,8392.0,119.0,138.711179
AMD,2025-07-01 13:38:00+00:00,138.34,138.42,138.01,138.015,29421.0,270.0,138.327729
AMD,2025-07-01 13:39:00+00:00,138.015,138.59,138.015,138.59,10037.0,131.0,138.280208
AMD,2025-07-01 13:40:00+00:00,138.55,138.95,138.55,138.78,9317.0,134.0,138.792436
AMD,2025-07-01 13:41:00+00:00,138.84,138.88,138.17,138.25,11195.0,125.0,138.527837
AMD,2025-07-01 13:42:00+00:00,138.23,138.585,138.13,138.5,3362.0,48.0,138.350185
AMD,2025-07-01 13:43:00+00:00,138.45,138.47,137.71,137.75,5828.0,98.0,138.066289
AMD,2025-07-01 13:44:00+00:00,137.7,138.02,137.68,137.985,4984.0,56.0,137.844868
AMD,2025-07-01 13:45:00+00:00,137.97,138.26,137.85,138.23,3703.0,53.0,138.034167
AMD,2025-07-01 13:46:00+00:00,138.155,138.58,138.155,138.58,2564.0,40.0,138.372667
AMD,2025-07-01 13:47:00+00:00,138.54,138.795,138.5,138.795,6080.0,71.0,138.627181
AMD,2025-07-01 13:48:00+00:00,138.88,139.1,138.77,139.1,6407.0,96.0,138.881466
AMD,2025-07-01 13:49:00+00:00,139.09,139.18,138.91,138.92,4557.0,66.0,139.047742
AMD,2025-07-01 13:50:00+00:00,138.93,138.95,138.7,138.84,5567.0,100.0,138.862336
AMD,2025-07-01 13:51:00+00:00,138.84,139.03,138.765,139.02,5229.0,90.0,138.922762
AMD,2025-07-01 13:52:00+00:00,139.01,139.06,138.65,138.66,4463.0,75.0,138.896719
AMD,2025-07-01 13:53:00+00:00,138.71,138.75,138.55,138.62,4438.0,71.0,138.669586
AMD,2025-07-01 13:54:00+00:00,138.545,138.59,138.33,138.33,7929.0,98.0,138.416043
AMD,2025-07-01 13:55:00+00:00,138.31,138.39,138.11,138.15,4786.0,73.0,138.195143
AMD,2025-07-01 13:56:00+00:00,138.135,138.22,138.05,138.14,4740.0,73.0,138.123846
AMD,2025-07-01 13:57:00+00:00,138.07,138.07,137.93,138.0,10043.0,92.0,138.023234
AMD,2025-07-01 13:58:00+00:00,137.95,138.29,137.92,138.27,4743.0,61.0,138.062813
AMD,2025-07-01 13:59:00+00:00,138.235,138.29,138.08,138.29,6527.0,72.0,138.227777
AMD,2025-07-01 14:00:00+00:00,138.145,138.27,138.13,138.13,3234.0,77.0,138.203075
AMD,2025-07-01 14:01:00+00:00,138.08,138.23,138.04,138.17,4666.0,65.0,138.153272
AMD,2025-07-01 14:02:00+00:00,138.16,138.25,137.96,138.03,4253.0,69.0,138.158994
AMD,2025-07-01 14:03:00+00:00,138.07,138.07,137.93,138.005,4701.0,91.0,138.006013
AMD,2025-07-01 14:04:00+00:00,138.015,138.035,137.95,137.98,3270.0,68.0,137.993447
AMD,2025-07-01 14:05:00+00:00,138.04,138.4,137.99,138.36,5129.0,97.0,138.184199
AMD,2025-07-01 14:06:00+00:00,138.4,138.48,138.15,138.17,6295.0,52.0,138.342333
AMD,2025-07-01 14:07:00+00:00,138.17,138.25,138.08,138.15,4295.0,56.0,138.154292
AMD,2025-07-01 14:08:00+00:00,138.085,138.39,138.085,138.38,3431.0,47.0,138.207013
AMD,2025-07-01 14:09:00+00:00,138.32,138.34,138.11,138.11,3567.0,45.0,138.219835
AMD,2025-07-01 14:10:00+00:00,138.17,138.22,138.11,138.115,1934.0,29.0,138.162667
AMD,2025-07-01 14:11:00+00:00,138.01,138.05,137.86,137.95,3500.0,50.0,137.954695
AMD,2025-07-01 14:12:00+00:00,137.97,138.16,137.95,138.12,2024.0,35.0,138.045694
AMD,2025-07-01 14:13:00+00:00,138.15,138.43,138.13,138.43,1936.0,32.0,138.265378
AMD,2025-07-01 14:14:00+00:00,138.425,138.43,138.31,138.37,1822.0,26.0,138.384545
AMD,2025-07-01 14:15:00+00:00,138.37,138.43,138.345,138.43,2543.0,35.0,138.361218
AMD,2025-07-01 14:16:00+00:00,138.6,138.71,138.535,138.71,1575.0,25.0,138.624343
AMD,2025-07-01 14:17:00+00:00,138.69,138.7,138.59,138.66,2237.0,32.0,138.647451
AMD,2025-07-01 14:18:00+00:00,138.68,138.705,138.41,138.41,2529.0,30.0,138.603659
AMD,2025-07-01 14:19:00+00:00,138.41,138.59,138.41,138.57,2774.0,36.0,138.540625
AMD,2025-07-01 14:20:00+00:00,138.48,138.48,138.37,138.46,1936.0,28.0,138.420909
AMD,2025-07-01 14:21:00+00:00,138.54,138.6,138.5,138.5,1481.0,27.0,138.556667
AMD,2025-07-01 14:22:00+00:00,138.25,138.34,138.13,138.34,2537.0,41.0,138.23025
AMD,2025-07-01 14:23:00+00:00,138.25,138.25,137.99,138.09,3554.0,58.0,138.12913
AMD,2025-07-01 14:24:00+00:00,137.98,138.19,137.905,137.95,5466.0,75.0,138.088889
AMD,2025-07-01 14:25:00+00:00,137.96,138.04,137.74,137.79,4800.0,60.0,137.920723
AMD,2025-07-01 14:26:00+00:00,137.71,137.71,137.38,137.43,4599.0,53.0,137.466568
AMD,2025-07-01 14:27:00+00:00,137.41,137.47,137.33,137.42,7097.0,94.0,137.400643
AMD,2025-07-01 14:28:00+00:00,137.41,137.41,137.16,137.2,13399.0,135.0,137.260751
AMD,2025-07-01 14:29:00+00:00,137.16,137.5,137.11,137.49,8273.0,102.0,137.291082
AMD,2025-07-01 14:30:00+00:00,137.47,137.52,137.29,137.34,5900.0,75.0,137.429702
AMD,2025-07-01 14:31:00+00:00,137.31,137.32,137.14,137.14,2203.0,41.0,137.261071
AMD,2025-07-01 14:32:00+00:00,137.25,137.27,137.13,137.205,4183.0,38.0,137.194549
AMD,2025-07-01 14:33:00+00:00,137.28,137.28,136.79,136.86,9225.0,100.0,137.003032
AMD,2025-07-01 14:34:00+00:00,136.81,136.81,136.61,136.75,7756.0,68.0,136.726288
AMD,2025-07-01 14:35:00+00:00,136.75,137.045,136.72,136.91,2796.0,34.0,136.893023
AMD,2025-07-01 14:36:00+00:00,136.9,136.99,136.86,136.93,2972.0,34.0,136.944538
AMD,2025-07-01 14:37:00+00:00,136.92,136.92,136.46,136.52,6617.0,64.0,136.571307
AMD,2025-07-01 14:38:00+00:00,136.49,136.5,136.4,136.5,6914.0,81.0,136.461501
AMD,2025-07-01 14:39:00+00:00,136.52,136.52,136.21,136.26,8294.0,90.0,136.319732
AMD,2025-07-01 14:40:00+00:00,136.265,136.41,136.16,136.3,12519.0,127.0,136.266568
AMD,2025-07-01 14:41:00+00:00,136.3,136.36,136.18,136.29,6018.0,88.0,136.255109
AMD,2025-07-01 14:42:00+00:00,136.33,136.46,136.24,136.37,9961.0,89.0,136.298933
AMD,2025-07-01 14:43:00+00:00,136.38,136.835,136.28,136.82,14792.0,136.0,136.497666
AMD,2025-07-01 14:44:00+00:00,136.8,136.88,136.75,136.82,13555.0,122.0,136.824017
AMD,2025-07-01 14:45:00+00:00,136.77,136.89,136.7,136.85,9767.0,100.0,136.796382
AMD,2025-07-01 14:46:00+00:00,136.915,136.95,136.66,136.81,12599.0,107.0,136.822701
AMD,2025-07-01 14:47:00+00:00,136.89,137.0,136.88,136.965,9986.0,91.0,136.94593
AMD,2025-07-01 14:48:00+00:00,136.97,136.98,136.74,136.74,3337.0,69.0,136.859259
AMD,2025-07-01 14:49:00+00:00,136.7,136.79,136.52,136.76,7949.0,89.0,136.619017
AMD,2025-07-01 14:50:00+00:00,136.72,136.85,136.67,136.82,2345.0,34.0,136.765882
AMD,2025-07-01 14:51:00+00:00,136.81,136.95,136.81,136.9,2790.0,34.0,136.888098
AMD,2025-07-01 14:52:00+00:00,136.9,136.94,136.82,136.92,7185.0,79.0,136.886333
AMD,2025-07-01 14:53:00+00:00,136.93,136.93,136.76,136.76,2127.0,30.0,136.84775
AMD,2025-07-01 14:54:00+00:00,136.785,136.83,136.48,136.605,8815.0,115.0,136.630645
AMD,2025-07-01 14:55:00+00:00,136.6,136.6,136.49,136.53,2823.0,45.0,136.54675
AMD,2025-07-01 14:56:00+00:00,136.49,136.5,136.37,136.42,5165.0,65.0,136.419192
AMD,2025-07-01 14:57:00+00:00,136.43,136.45,136.31,136.4,4943.0,66.0,136.355224
AMD,2025-07-01 14:58:00+00:00,136.47,136.47,136.24,136.24,2590.0,25.0,136.368478
AMD,2025-07-01 14:59:00+00:00,136.27,136.3,136.02,136.05,7473.0,109.0,136.128274
AMD,2025-07-01 15:00:00+00:00,136.04,136.09,135.86,135.9,16494.0,134.0,135.922091
AMD,2025-07-01 15:01:00+00:00,135.88,136.15,135.88,136.15,7231.0,79.0,136.017116
AMD,2025-07-01 15:02:00+00:00,136.14,136.29,136.095,136.095,4496.0,54.0,136.203001
AMD,2025-07-01 15:03:00+00:00,136.12,136.505,136.12,136.46,5401.0,67.0,136.294973
AMD,2025-07-01 15:04:00+00:00,136.52,136.72,136.42,136.71,4327.0,49.0,136.510822
AMD,2025-07-01 15:05:00+00:00,136.73,136.88,136.7,136.7,5241.0,76.0,136.759394
AMD,2025-07-01 15:06:00+00:00,136.68,136.77,136.61,136.75,4866.0,67.0,136.650259
AMD,2025-07-01 15:07:00+00:00,136.69,136.69,136.54,136.54,1766.0,44.0,136.609
AMD,2025-07-01 15:08:00+00:00,136.4,136.42,135.95,136.03,12505.0,96.0,136.085508
AMD,2025-07-01 15:09:00+00:00,135.985,136.04,135.73,135.83,8919.0,94.0,135.873421
AMD,2025-07-01 15:10:00+00:00,135.91,135.91,135.615,135.635,5448.0,67.0,135.753621
AMD,2025-07-01 15:11:00+00:00,135.63,135.68,135.49,135.65,4442.0,62.0,135.570884
AMD,2025-07-01 15:12:00+00:00,135.67,135.67,135.44,135.51,9395.0,96.0,135.579635
AMD,2025-07-01 15:13:00+00:00,135.52,135.535,135.39,135.48,6602.0,72.0,135.488962
AMD,2025-07-01 15:14:00+00:00,135.49,135.49,135.21,135.24,6723.0,77.0,135.325258
AMD,2025-07-01 15:15:00+00:00,135.225,135.46,135.14,135.42,17776.0,184.0,135.274664
AMD,2025-07-01 15:16:00+00:00,135.44,135.49,135.34,135.49,2927.0,42.0,135.409497
AMD,2025-07-01 15:17:00+00:00,135.49,135.645,135.47,135.645,5668.0,52.0,135.545674
AMD,2025-07-01 15:18:00+00:00,135.725,135.78,135.645,135.78,7420.0,72.0,135.719103
AMD,2025-07-01 15:19:00+00:00,135.76,135.82,135.74,135.82,4319.0,48.0,135.769857
AMD,2025-07-01 15:20:00+00:00,135.82,135.83,135.64,135.69,3424.0,47.0,135.744483
AMD,2025-07-01 15:21:00+00:00,135.67,135.96,135.67,135.945,3051.0,35.0,135.84537
AMD,2025-07-01 15:22:00+00:00,135.98,136.16,135.98,136.16,5440.0,55.0,136.12807
AMD,2025-07-01 15:23:00+00:00,136.18,136.18,136.08,136.12,6692.0,74.0,136.121
AMD,2025-07-01 15:24:00+00:00,136.15,136.54,136.15,136.4,6984.0,65.0,136.395565
AMD,2025-07-01 15:25:00+00:00,136.38,136.61,136.32,136.61,9526.0,94.0,136.463086
AMD,2025-07-01 15:26:00+00:00,136.66,136.765,136.6,136.69,7174.0,69.0,136.670194
AMD,2025-07-01 15:27:00+00:00,136.7,136.74,136.62,136.63,6475.0,85.0,136.673931
AMD,2025-07-01 15:28:00+00:00,136.62,136.62,136.4,136.4,16498.0,189.0,136.553879
AMD,2025-07-01 15:29:00+00:00,136.41,136.495,136.32,136.45,9934.0,104.0,136.396806
AMD,2025-07-01 15:30:00+00:00,136.43,136.5,136.295,136.3,6425.0,66.0,136.408277
AMD,2025-07-01 15:31:00+00:00,136.31,136.38,136.28,136.295,20541.0,139.0,136.340769
AMD,2025-07-01 15:32:00+00:00,136.3,136.31,136.13,136.17,6027.0,83.0,136.226545
AMD,2025-07-01 15:33:00+00:00,136.14,136.42,136.12,136.42,12204.0,86.0,136.25277
AMD,2025-07-01 15:34:00+00:00,136.365,136.485,136.365,136.46,14691.0,96.0,136.439857
AMD,2025-07-01 15:35:00+00:00,136.46,136.56,136.41,136.56,5644.0,69.0,136.476757
AMD,2025-07-01 15:36:00+00:00,136.56,136.65,136.53,136.6,2817.0,38.0,136.586458
AMD,2025-07-01 15:37:00+00:00,136.58,136.58,136.48,136.54,3129.0,31.0,136.529082
AMD,2025-07-01 15:38:00+00:00,136.57,136.59,136.42,136.57,2463.0,31.0,136.515144
AMD,2025-07-01 15:39:00+00:00,136.58,136.6,136.47,136.57,2539.0,32.0,136.561875
AMD,2025-07-01 15:40:00+00:00,136.51,136.51,136.37,136.385,2290.0,33.0,136.404985
AMD,2025-07-01 15:41:00+00:00,136.37,136.395,136.26,136.3,3978.0,50.0,136.333672
AMD,2025-07-01 15:42:00+00:00,136.27,136.27,136.18,136.27,2704.0,28.0,136.217143
AMD,2025-07-01 15:43:00+00:00,136.31,136.31,136.115,136.12,3131.0,40.0,136.202115
AMD,2025-07-01 15:44:00+00:00,136.13,136.14,135.94,135.955,4352.0,48.0,136.042245
AMD,2025-07-01 15:45:00+00:00,135.92,136.175,135.92,136.13,8319.0,79.0,136.047385
AMD,2025-07-01 15:46:00+00:00,136.2,136.31,136.2,136.27,8539.0,84.0,136.268648
AMD,2025-07-01 15:47:00+00:00,136.27,136.35,136.23,136.32,4700.0,50.0,136.300959
AMD,2025-07-01 15:48:00+00:00,136.32,136.36,136.28,136.31,2517.0,43.0,136.33
AMD,2025-07-01 15:49:00+00:00,136.4,136.41,136.37,136.41,3018.0,29.0,136.386111
AMD,2025-07-01 15:50:00+00:00,136.39,136.45,136.285,136.45,3315.0,43.0,136.336284
AMD,2025-07-01 15:51:00+00:00,136.4,136.45,136.39,136.39,2827.0,40.0,136.415146
AMD,2025-07-01 15:52:00+00:00,136.39,136.4,136.32,136.35,1746.0,25.0,136.352667
AMD,2025-07-01 15:53:00+00:00,136.335,136.38,136.25,136.32,2630.0,29.0,136.308757
AMD,2025-07-01 15:54:00+00:00,136.33,136.33,136.23,136.27,1327.0,16.0,136.278996
AMD,2025-07-01 15:55:00+00:00,136.22,136.28,136.2,136.28,2936.0,36.0,136.237451
AMD,2025-07-01 15:56:00+00:00,136.31,136.35,136.28,136.28,2572.0,42.0,136.31814
AMD,2025-07-01 15:57:00+00:00,136.24,136.31,136.14,136.28,1783.0,32.0,136.229259
AMD,2025-07-01 15:58:00+00:00,136.19,136.22,136.17,136.19,1850.0,26.0,136.185313
AMD,2025-07-01 15:59:00+00:00,136.19,136.38,136.19,136.36,2268.0,35.0,136.327275
AMD,2025-07-01 16:00:00+00:00,136.37,136.4,136.145,136.17,4473.0,56.0,136.314075
AMD,2025-07-01 16:01:00+00:00,136.19,136.28,136.18,136.18,1766.0,25.0,136.23
AMD,2025-07-01 16:02:00+00:00,136.12,136.12,136.0,136.09,1968.0,35.0,136.062
AMD,2025-07-01 16:03:00+00:00,136.175,136.27,136.15,136.27,3249.0,36.0,136.20931
AMD,2025-07-01 16:04:00+00:00,136.245,136.25,136.2,136.23,2564.0,29.0,136.233365
AMD,2025-07-01 16:05:00+00:00,136.3,136.36,136.19,136.28,4846.0,59.0,136.271387
AMD,2025-07-01 16:06:00+00:00,136.27,136.27,136.16,136.23,5243.0,56.0,136.224419
AMD,2025-07-01 16:07:00+00:00,136.215,136.33,136.21,136.21,1324.0,27.0,136.260556
AMD,2025-07-01 16:08:00+00:00,136.24,136.35,136.24,136.35,1700.0,29.0,136.290909
AMD,2025-07-01 16:09:00+00:00,136.33,136.43,136.33,136.37,5281.0,52.0,136.390411
AMD,2025-07-01 16:10:00+00:00,136.37,136.49,136.29,136.49,7177.0,81.0,136.377502
